code,system
L265.00,readv2
Q10..00,readv2
Q101.11,readv2
Q101.00,readv2
Q111.00,readv2
Q113.00,readv2
Q13..00,readv2
P05.0,readv2
P05.1,readv2
L265200,readv2
Q11..00,readv2
Q115.00,readv2
Q115000,readv2
Q114000,readv2
Q110.00,readv2
L265100,readv2
L265000,readv2
P05.9,readv2
Qyu1000,readv2
P07.1,readv2
Q10z.11,readv2
Q10z.00,readv2
Q100.00,readv2
Q100.11,readv2
L265z00,readv2
72974.0,readv2
23670.0,readv2
4697.0,readv2
34777.0,readv2
23495.0,readv2
63290.0,readv2
26683.0,readv2
43004.0,readv2
61211.0,readv2
19575.0,readv2
27888.0,readv2
50704.0,readv2
35139.0,readv2
36894.0,readv2
73682.0,readv2
15563.0,readv2
93732.0,readv2
95638.0,readv2
102246.0,readv2
31219.0,readv2
22032.0,readv2
55820.0,readv2
P07.0,readv2
